x1,v1
Air Crystal,3
Anthurium Flower,50
Antlers,15
Ball of Yarn,7
Bat Wings,25
Blue Paint,0.5
Bone,30
Bonsai Tree,45
Bottle of Blood,2
Bundle of Straw,44
Candy Cane,40
Chopsticks,35
Chromatic Paint,140
Chunks of Flesh,20
Cinnamon Sticks,0.7
Cowboy Hat,4
Cricket Bat,6
Dancing Flames,16
Dog Food,25
Dragon Scales,70
Dusty Rags,10
Earth Crystal,10
Ectoplasm,10
Eggnog,15
Electrical Wiring,6
Fairy Dust,40
Fine Silk,40
Fire Crystal,50
Fish & Chips,2
Football,12
Golden Thread,30
Green Paint,0.5
Hibiscus Flower,25
Hockey Stick,30
Japanese Drums,2
Jar of Ooze,10
Jingle Bells,25
Key Card,35
Koa Wood,100
Lumps of Coal,30
Magical Fabric,110
Maple Syrup,6
Nigiri,5
Pigskins,20
Plumeria Flower,25
Pumpkin Seeds,10
Pupusas,30
Purple Paint,4
Red Envelopes,25
Red Lei,10
Red Paint,5
Red Ribbons,120
Rusty Bolts,40
Silver Bullet,30
Strawberries,60
Surf Board,40
Warty Toad,11
Water Crystal,15
Werewolf Fur,18
White Paint,17
Yellow Paint,2
